,participant,filtered,samples,coefficient,RMSE,actualMean,actualStDev,predMean,predStDev
0,1,False,3250,0.028735313532400816,1.6485848808809456,0.4,1.1688258408136971,0.43984314799308777,1.196005940437317
1,1,True,108,0.9666338484767787,0.4870048583915103,1.7407407407407407,1.8477732864098406,1.8317500352859497,1.8557645082473755
2,2,False,2186,0.04936750566108365,1.911851336458353,0.5306495882891126,1.3527861658835667,0.6770862936973572,1.411462664604187
3,2,True,136,0.9841712189243956,0.4131247470123926,2.0,2.0,1.8225703239440918,1.8518834114074707
4,3,False,4970,0.15985445571005963,1.817986608784398,0.5255533199195171,1.2689810174347378,0.7388783097267151,1.5030076503753662
5,3,True,534,0.9645168070457841,0.501664155077278,1.7303370786516854,1.840640124020245,1.8283294439315796,1.8521337509155273
6,4,False,5173,0.16846132753219115,1.7451052978334847,0.5049294413299826,1.2480120902115281,0.669573187828064,1.4370068311691284
7,4,True,520,0.9697718846748279,0.4667678082673039,1.7038461538461538,1.8220826564951962,1.8188583850860596,1.8504561185836792
8,5,False,4355,0.037347872534254575,2.142323443149117,0.5340987370838117,1.2852324111833449,1.057389497756958,1.6808505058288574
9,5,True,446,0.9291872867234556,0.7091661731306276,1.704035874439462,1.8222176009632085,1.848867416381836,1.8614872694015503
10,6,False,5149,0.10085204520130614,1.674550824106627,0.5072829675665178,1.2504399605398056,0.4554305076599121,1.2458126544952393
11,6,True,292,0.9604471848823417,0.5532930293325939,1.773972602739726,1.8699884548219001,1.9116064310073853,1.922672986984253
12,7,False,5021,0.11574440399634811,1.5657142496762142,0.5202150965943039,1.2636191488951987,0.32115185260772705,1.060856580734253
13,7,True,234,0.9673285889487545,0.49182749909527235,1.811965811965812,1.894353390490261,1.8895899057388306,1.9046541452407837
14,8,False,4043,0.10038900045372626,1.8204915032483828,0.5580014840465001,1.2866587110156582,0.6310433149337769,1.4214695692062378
15,8,True,304,0.9806126289199111,0.3795847263438025,1.881578947368421,1.9362681500841952,1.8705321550369263,1.8987922668457031
16,9,False,3673,0.07096841488991394,1.5048146687955215,0.4780833106452491,1.17979238651593,0.28630751371383667,1.0017635822296143
17,9,True,118,0.9709814701787907,0.4572951637567344,1.8305084745762712,1.905856650423132,1.8581719398498535,1.8751451969146729
18,10,False,5153,0.09351648400353893,1.6822482234629486,0.5068891907626625,1.2500343821180988,0.5156924724578857,1.2486941814422607
19,10,True,348,0.9755955865133409,0.42226893252547,1.7471264367816093,1.8521090234077615,1.6730222702026367,1.7206928730010986
20,11,False,5073,0.06483196456180425,1.765765604917609,0.5062093435836783,1.2604817308887972,0.5718989968299866,1.319248080253601
21,11,True,292,0.9918656776447105,0.2842274928184254,1.8904109589041096,1.9413428754034932,1.7943944931030273,1.8230721950531006
22,12,False,5037,0.08571842617150952,1.759933438600832,0.5082390311693469,1.2623743727671881,0.6049370169639587,1.3354557752609253
23,12,True,364,0.9777358225638144,0.4074761427000496,1.7802197802197801,1.8740694265242466,1.7084345817565918,1.753382921218872
24,13,False,4747,0.060573655194998154,1.8297577384906036,0.5317042342532126,1.285296154392637,0.6115617156028748,1.3800500631332397
25,13,True,320,0.9600708510848734,0.5246432816657011,1.78125,1.8747395652463303,1.773240089416504,1.8106579780578613
26,14,False,4904,0.11154404676672564,1.8212920449886079,0.5065252854812398,1.258396853491685,0.6412303447723389,1.457598328590393
27,14,True,360,0.977735266433737,0.43287226800392736,1.8222222222222222,1.9007470915860532,1.945345163345337,1.973023533821106
28,15,False,5064,0.09564261758916846,1.7564050464786842,0.5055292259083728,1.2595484582405374,0.5449860095977783,1.3498775959014893
29,15,True,286,0.998253680160404,0.13530676556541554,1.993006993006993,1.9964881877604939,1.9435176849365234,1.9488500356674194
30,16,False,5078,0.0553019021312701,1.49056164344588,0.5041354864119733,1.2580902550905442,0.21785300970077515,0.8191518783569336
31,16,True,170,0.9293321938813947,0.6676288213975855,1.6235294117647059,1.7621942911390855,1.4960533380508423,1.5596102476119995
32,17,False,5059,0.06997532214434413,1.5211649063819246,0.5139355603874284,1.269385560078939,0.23628351092338562,0.8846914172172546
33,17,True,148,0.9879391107210629,0.3258060452488743,1.8783783783783783,1.9344159164747596,1.789764165878296,1.8184646368026733
34,18,False,4777,0.05550566207620457,1.6173721808746806,0.52501570023027,1.278087053118474,0.3508155643939972,1.0492422580718994
35,18,True,204,0.9709763666083361,0.4820763002640255,1.7843137254901962,1.8767277058669098,1.6610122919082642,1.6969088315963745
36,19,False,5003,0.0777609645886972,1.7927311865454354,0.5196881870877473,1.2752985183586683,0.5795523524284363,1.3616063594818115
37,19,True,318,0.9603516934287115,0.5359885995881154,1.8553459119496856,1.9208766276650104,1.8450956344604492,1.8645402193069458
38,20,False,4966,0.09333822998197833,1.6568358677195143,0.5155054369714056,1.26989254679972,0.43683600425720215,1.1863957643508911
39,20,True,272,0.9608820359121465,0.5259953101715152,1.8161764705882353,1.8969875727613696,1.8237398862838745,1.846939206123352
40,21,False,5004,0.11978631005087295,1.7841491524489719,0.5507593924860112,1.3105141986601285,0.5956668257713318,1.3769681453704834
41,21,True,400,0.973220208127886,0.43987690843888255,1.84,1.911648503255763,1.820446491241455,1.8590449094772339
42,22,False,5009,0.025949053254535108,1.8916382492089383,0.5438211219804352,1.3028702181320775,0.592986524105072,1.4047751426696777
43,22,True,258,0.9664104016894501,0.507655020666998,1.8527131782945736,1.9193053297328857,1.921703577041626,1.9530197381973267
44,23,False,4827,0.03148545892791792,1.84318746194669,0.5643256681168427,1.3228386087047304,0.5807901620864868,1.3257458209991455
45,23,True,284,0.9667280419135232,0.5008185796221706,1.8380281690140845,1.910450591874922,1.7475544214248657,1.7852356433868408
46,24,False,4989,0.10007421043880999,1.711243978449738,0.5460012026458209,1.305023115707198,0.5074723362922668,1.244530200958252
47,24,True,324,0.9816365626802441,0.4367322200396113,1.9197530864197532,1.9578219034683286,1.7403466701507568,1.783795714378357
48,25,False,5048,0.0476102817124669,2.2029251534020133,0.5182250396196514,1.2742359893862618,1.1635026931762695,1.7389096021652222
49,25,True,508,0.9648906702558733,0.5080160134581198,1.8622047244094488,1.9249472488470487,1.8829500675201416,1.9023935794830322
50,26,False,4277,0.08156309900766527,1.7501111808327625,0.5237315875613748,1.2803108953473123,0.5270856618881226,1.3021684885025024
51,26,True,272,0.9886501600602053,0.28558827195789127,1.7794117647058822,1.873543263408025,1.757948875427246,1.8090054988861084
52,27,False,4715,0.03293786820903253,1.9409464763382747,0.5497348886532344,1.3051076079044752,0.7103095054626465,1.4712841510772705
53,27,True,324,0.9610823540307468,0.5287736858234692,1.7592592592592593,1.860258695522243,1.8524386882781982,1.8703643083572388
54,28,False,4552,0.04962681093224438,1.8244244706603099,0.5140597539543058,1.2733841009238744,0.5797470808029175,1.3695998191833496
55,28,True,260,0.9766558956454738,0.41646688621245537,1.7692307692307692,1.8668709383863995,1.8633244037628174,1.8847088813781738
56,29,False,5118,0.07740327478590148,1.785385908303683,0.5455255959359124,1.3062578614706795,0.5474080443382263,1.3223837614059448
57,29,True,312,0.9860332187436034,0.3351639824159421,1.9038461538461537,1.9489604268845815,1.8459213972091675,1.8616026639938354
58,30,False,2880,0.11304066958567567,1.8182819324330712,0.4097222222222222,1.2128547272885457,0.6608108282089233,1.4753410816192627
59,30,True,174,0.9965267904382509,0.17433791638798604,2.0,2.0,1.957328200340271,1.964150309562683
