wav_filename,wav_length,transcript
/scratch/customtraining/data-ignore-v1/train/samples/sample-1.wav,36864,ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-2.wav,41984,ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-3.wav,58368,ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-4.wav,53248,ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-5.wav,69632,ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-6.wav,45056,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-7.wav,47104,ignore uh ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-8.wav,65536,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-9.wav,55296,ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-10.wav,45056,um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-11.wav,63488,ignore ignore ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-12.wav,64512,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-13.wav,77824,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-14.wav,69632,ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-15.wav,58368,ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-16.wav,37888,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-17.wav,63488,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-18.wav,56320,ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-19.wav,59392,ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-20.wav,82944,ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-21.wav,48128,ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-22.wav,79872,ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-23.wav,67584,ignore ignore ignore ignore um ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-24.wav,58368,ignore ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-25.wav,78848,ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-26.wav,52224,ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-27.wav,94208,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-28.wav,62464,ignore ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-29.wav,59392,ignore ignore ignore ignore um ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-30.wav,56320,ignore ignore ignore ignore ignore um ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-31.wav,40960,ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-32.wav,40960,ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-33.wav,41984,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-34.wav,69632,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v1/train/samples/sample-35.wav,56320,ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-36.wav,22528,ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-37.wav,56320,ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-38.wav,55296,ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-39.wav,65536,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-40.wav,55296,ignore ignore um ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-41.wav,45056,ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-42.wav,43008,ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-43.wav,99328,ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-44.wav,74752,ignore uh ignore ignore ignore ignore ignore ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-45.wav,61440,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-46.wav,26624,uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-47.wav,55296,ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-48.wav,64512,ignore ignore ignore ignore ignore ignore ignore ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-49.wav,45056,ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-50.wav,49152,ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-51.wav,77824,ignore ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-52.wav,57344,ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-53.wav,64512,ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-54.wav,75776,ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-55.wav,111616,ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-56.wav,92160,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-57.wav,70656,ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-58.wav,59392,ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-59.wav,54272,ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-60.wav,74752,ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-61.wav,96256,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-62.wav,51200,ignore ignore ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-63.wav,93184,ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-64.wav,113664,ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-65.wav,63488,ignore ignore ignore ignore um 
/scratch/customtraining/data-ignore-v2/train/samples/sample-66.wav,108544,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-67.wav,71680,ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-68.wav,70656,ignore ignore ignore ignore ignore um ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-69.wav,70656,ignore um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-70.wav,59392,ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-71.wav,77824,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-72.wav,111616,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-73.wav,82944,ignore ignore ignore ignore ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-74.wav,54272,ignore ignore uh ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-75.wav,61440,ignore ignore ignore ignore ignore ignore um ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-76.wav,110592,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-77.wav,70656,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-78.wav,82944,ignore ignore ignore ignore ignore ignore ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-79.wav,92160,ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-80.wav,74752,ignore ignore ignore ignore ignore ignore ignore ignore um ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-81.wav,71680,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-82.wav,68608,ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-83.wav,96256,ignore ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-84.wav,95232,ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-85.wav,54272,ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-86.wav,49152,uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-87.wav,56320,ignore ignore ignore ignore ignore ignore um ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-88.wav,50176,ignore ignore ignore ignore uh 
/scratch/customtraining/data-ignore-v2/train/samples/sample-89.wav,45056,um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-90.wav,49152,uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-91.wav,84992,ignore ignore ignore ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-92.wav,53248,ignore ignore ignore ignore uh 
/scratch/customtraining/data-ignore-v2/train/samples/sample-93.wav,75776,ignore ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-94.wav,90112,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-95.wav,51200,ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-96.wav,59392,ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-97.wav,98304,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-98.wav,116736,ignore ignore ignore um uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-99.wav,61440,ignore ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-100.wav,84992,ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-101.wav,102400,ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-102.wav,113664,ignore ignore uh ignore ignore ignore ignore ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-103.wav,91136,ignore ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-104.wav,57344,ignore ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-105.wav,75776,ignore ignore ignore uh um ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-106.wav,116736,ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore uh ignore ignore ignore uh ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-107.wav,84992,ignore um ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-108.wav,64512,ignore ignore uh ignore ignore um ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-109.wav,81920,ignore ignore ignore ignore um ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-110.wav,50176,ignore ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-111.wav,88064,ignore ignore ignore ignore ignore uh ignore ignore ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-112.wav,81920,ignore ignore ignore um ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-113.wav,54272,ignore ignore ignore ignore uh ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-114.wav,102400,ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-115.wav,101376,ignore ignore ignore ignore uh ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-116.wav,105472,ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-117.wav,66560,ignore ignore ignore ignore um ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-118.wav,82944,ignore ignore ignore ignore ignore ignore uh ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-119.wav,44032,ignore um ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-120.wav,81920,ignore ignore ignore ignore ignore um ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-121.wav,46080,ignore ignore ignore ignore um 
/scratch/customtraining/data-ignore-v2/train/samples/sample-122.wav,84992,ignore ignore um ignore ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-123.wav,73728,uh ignore ignore ignore ignore ignore ignore ignore ignore um 
/scratch/customtraining/data-ignore-v2/train/samples/sample-124.wav,62464,um ignore ignore ignore ignore ignore ignore ignore 
/scratch/customtraining/data-ignore-v2/train/samples/sample-125.wav,64512,ignore uh ignore ignore ignore ignore ignore ignore ignore ignore 
